"Agency","Program","Population","County","Units/Beds","Occupied","Open","Contact"
"Camden County CPAC","CPAC-Camden Housing First CSP-Camden","SMF=Single Males and Females 18 years and older","CAMDEN","6","6","0","Hilary Colbert:: 856 663 - 3998"
"Camden County CPAC","CPAC-Camden Housing First CSPNJ-Camden","SMF=Single Males and Females 18 years and older","CAMDEN","2","2","0","856 663 - 3998"
"Camden County CPAC","CPAC - CSP  CPAC SC Camden","SMF=Single Males and Females 18 years and older","CAMDEN","4","4","0","856 663 - 9998"
"Camden County CPAC","CPAC - Camden Samaritan S  C CSP 2008-Camden","SMF=Single Males and Females 18 years and older","CAMDEN","6","6","0","856 663 - 3998"
"Camden County OEO","CCCOEO OMAR Permanant Housing - Camden","SM=Single Males 18 years and older","CAMDEN","11","10","1","Geraldine Gross-Taylor:: 856 365 - 8989"
"Camden County OEO","CCCOEO Liberty Place Transitional Housing - Camden","HC=Households with Children","CAMDEN","4","3","1","Dalia Gonzales:: 856 365 - 8989"
"Camden County OEO","CCCOEO A. Wright Place Transitional Housing - Camden","HC=Households with Children","CAMDEN","7","4","3","Dalia Gonzales:: 856 365 - 8989"
"Camden County OEO","CCCOEO IMANI House Transitional Housing - Camden","SF=Single Females 18 years and older","CAMDEN","10","10","0","Dalia Gonzales:: 856 365 - 8989"
"Cape Counseling Services","CCS- Lily Mae Project SPlusC - Cape May","SMF+HC=Single Male and Female and Households with Children","CAPE MAY","12","11","1","Eleanor McBride:: 609 729 - 1240"
"Cape Counseling Services","CCS Cape Housing 1 Cape May","SF=Single Females 18 years and older","CAPE MAY","3","3","0","Eleanor McBride:: 609 778 - 6100"
"Cape Counseling Services","CCS-Cape May S Plus C- Cape May","SMF+HC=Single Male and Female and Households with Children","CAPE MAY","3","1","2","609 465 - 4100"
"Cape May County Board of Social Services","CMBSS-CoC housing vouchers-Cape May","SMF+HC=Single Male and Female and Households with Children","CAPE MAY","3","5","0","609 886 - 6200"
"Career Opportunity Development","CODI PIL - SH","SMF=Single Males and Females 18 years and older","ATLANTIC","11","11","0","Bob Schober:: 609 965 - 6871"
"Career Opportunity Development","CODI PIL - B","SMF=Single Males and Females 18 years and older","ATLANTIC","6","5","1","Bob Schober:: 609 965 - 6871"
"Career Opportunity Development","CODI PIL - CH Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","4","4","0","Bob Schober:: 609 965 - 6871"
"Career Opportunity Development","CODI PIL - BSIA Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","12","11","1","Bob Schober:: 609 965 - 6871"
"Career Opportunity Development","CODI PIL - APlus Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","32","30","2","Bob Schober:: 609 965 - 6871"
"Career Opportunity Development","CODI PIL - PB","SMF+HC=Single Male and Female and Households with Children","ATLANTIC","3","1","2","Bob Schober:: 609 965 - 6871"
"Catholic Charities Burlington BHS","CCBHS-SPlusC/DCA","SMF=Single Males and Females 18 years and older","BURLINGTON","8","8","0","Maureen Fahey:: 609 267 - 9339"
"Catholic Charities Essex","CC Good Shepherd Essex","SM=Single Males 18 years and older","ESSEX","5","4","1","Brenda Pulaski:: 973 799 - 0484"
"Catholic Charities Essex","CC Essex St Bridget's Residence","SM=Single Males 18 years and older","ESSEX","20","11","9","Brenda Pulaski:: 973 799 - 0484"
"Catholic Charities Essex","CC Essex St. Bridget's Emergency Shelter Essex","SM=Single Males 18 years and older","ESSEX","10","8","2","Brenda Pulaski:: 973 799 - 0484"
"Catholic Charities Essex","CC Essex St. Rocco's Family Residence","HC=Households with Children","ESSEX","16","11","5","Brenda Pulaski:: 973 286 - 4175"
"Catholic Charities Hudson","CC Hudson St. Judes Oasis","HC=Households with Children","HUDSON","5","5","0","Brenda Pulaski:: 201 656 - 3899"
"Catholic Charities Hudson","CC Hudson St. Lucy's","SMF=Single Males and Females 18 years and older","HUDSON","80","65","17","Brenda Pulaski:: 201 656 - 7201"
"Catholic Charities Hudson","CC Hudson Canaan House","SMF+HC=Single Male and Female and Households with Children","HUDSON","12","12","0","Brenda Pulaski:: 201 434 - 3967"
"Catholic Charities Hudson","CC Hudson Franciska Residence","SM=Single Males 18 years and older","HUDSON","14","10","4","Brenda Pulaski:: 201 653 - 3366"
"Catholic Charities Hudson","CC Hudson Edna McLaughlin Residence","SF=Single Females 18 years and older","HUDSON","22","20","2","Dan Ritchey:: 973 743 - 2300"
"Catholic Charities Hudson","CC Hudson Hope House Family Shelter","HC=Households with Children","HUDSON","20","15","5","Brenda Pulaski:: 201 420 - 1070"
"Catholic Charities Mercer BHS","Greenwood Ave/SPlusC","SMF=Single Males and Females 18 years and older","MERCER","6","6","0","Sharron Bellamy:: 609 890 - 2527"
"Catholic Charities Mercer BHS","CC BHS Mercer SRO 2007","SMF=Single Males and Females 18 years and older","MERCER","1","1","0","Sharron Bellamy:: 609 890 - 2527"
"Catholic Charities Mercer BHS","CC Mercer BHS SuperNofa 2007","SMF=Single Males and Females 18 years and older","MERCER","2","2","0","Susan DiPaolo:: 609 890 - 2527"
"Catholic Charities Mercer BHS","CC BHS Shelter Plus Care1- Mercer","SMF=Single Males and Females 18 years and older","MERCER","14","14","0","Susan DiPaolo:: 609 890 - 2527"
"Catholic Charities Mercer BHS","CC Mercer Transitional Housing","SMF=Single Males and Females 18 years and older","MERCER","12","10","2","Susan DiPaolo:: 609 890 - 2527"
"Catholic Charities Mercer BHS","CC BHS Mercer SRO 2009",,"MERCER","2","2","0","Susan DiPaolo:: 609 890 - 2527"
"Catholic Charities Mercer ECS","CC ECS Scattered Sites Mercer","HC=Households with Children","MERCER","20","14","6","Lorraine Brown:: 609 394 - 2172"
"Catholic Charities Mercer ECS","CC ECS TH Mercer","HC=Households with Children","MERCER","15","11","4","Lorraine Brown:: 609 394 - 2172"
"Catholic Charities","CCDOM Naomi's Way Middlesex","HC=Households with Children","MIDDLESEX","16","14","2","Wesley Moore:: 732 565 - 7974"
"Catholic Charities","CCDOM - Ozanam Family Shelter - SW - Middlesex","SF=Single Females 18 years and older","MIDDLESEX","16","11","5","Jackie Blake:: 732 985 - 0327"
"Catholic Charities","CCDOM - Ozanam Family Shelter - Families Middlesex","HC=Households with Children","MIDDLESEX","25","19","10","Jackie Blake:: 732 985 - 0327"
"Catholic Charities","CCDOM Ozanam Inn Middlesex","SM=Single Males 18 years and older","MIDDLESEX","40","38","3","Wesley Moore:: 732 729 - 0850"
"Catholic Charities","CCDOM- State Street- Supportive Housing - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","21","17","4","Wesley Moore:: 732 826 - 7711"
"Catholic Charities","CCDOM - State Street THP Middlesex","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","25","24","1","Jackie Blake:: 732 826 - 7711"
"Catholic Charities Monmouth ECS","CCME Monmouth Linkages","HC=Households with Children","MONMOUTH","29","26","2",
"Center for Family Services Gloucester","CFS-Tanyard Oaks-Gloucester","SMF+HC=Single Male and Female and Households with Children","GLOUCESTER","2","3","0","856 853 - 1761"
"Center for Family Services Gloucester","CFS-Tanyard Oaks II-Gloucester","SMF=Single Males and Females 18 years and older","GLOUCESTER","2","2","0","856 728 - 0404"
"Christian Caring Center","CCC-Jack Stelle Men's Shelter-Burlington","SM=Single Males 18 years and older","BURLINGTON","5","5","0","Madelyn Mears-Sheldon:: 609 894 - 4460"
"Circle of Life","COL- Circle of Life Shelter - Essex","SMF=Single Males and Females 18 years and older","ESSEX","54","38","16","Jamin Camillo:: 862 763 - 4859"
"Communities of Faith for Housing","CFH - SHELTER PLUS CARE-HUDSON","SMF=Single Males and Females 18 years and older","HUDSON","18","4","3","Jaclyn Cherubini:: 201 656 - 5069"
"Communities of Faith for Housing","CFH Hoboken Shelter Hudson","SMF=Single Males and Females 18 years and older","HUDSON","50","21","29","Jaclyn Cherubini:: 201 656 - 5069"
"Communities of Faith for Housing","CFH - McAdoo Apts - Hudson","SMF=Single Males and Females 18 years and older","HUDSON","4","1","3","James Shipman:: 201 656 - 5069"
"Community Access Unlimited","CAU-PSH-UNION","SMF=Single Males and Females 18 years and older","UNION","8","8","0","Michelle Mobley:: 908 354 - 3040"
"Community Access Unlimited","CAU-SAP-Union","SF=Single Females 18 years and older","UNION","4","4","0","Shelia McDowell:: 908 354 - 3040"
"Community Access Unlimited","CAU E-CAP Union","SMF=Single Males and Females 18 years and older","UNION","4","4","0","Shelia McDowell:: 908 354 - 3040"
"Community Access Unlimited","CAU -96  116 West Grand- Union","SMF=Single Males and Females 18 years and older","UNION","6","6","0","Shelia McDowell:: 908 354 - 3040"
"Community Access Unlimited","CAU-TIP-Union","SMF=Single Males and Females 18 years and older","UNION","4","3","1","Shelia McDowell:: 908 354 - 3040"
"Community Access Unlimited","CAU-Morse-Union","SM=Single Males 18 years and older","UNION","4","3","1","908 354 - 3040"
"Community Hope","Community Hope Veterans Early Transition Services - Essex","SMF=Single Males and Females 18 years and older","ESSEX","12","11","1","973 463 - 9600 x306"
"Community Hope","Community Hope Hope for Veterans - Somerset","SMF=Single Males and Females 18 years and older","SOMERSET","95","91","4","Marissa Fanelli:: 973 463 - 9600"
"Community Innovations","Community Response LLC- The Bowen House Women in Transition - Mercer","SF=Single Females 18 years and older","MERCER","7","16","6","Karyl Brown:: 609 826 - 9480"
"Community Innovations","Community Response LLC- Men in Transition - Mercer","SM=Single Males 18 years and older","MERCER","10","22","0","Lauren Campbell:: 609 826 - 9480"
"Community Innovations","Community Response LLC-The Trenton Family Preservation House Mercer","HC=Households with Children","MERCER","17","15","2","Karyl Brown:: 609 826 - 9480"
"Covenant House","Covenant House Crisis Center Atlantic","SMF+HC=Single Male and Female and Households with Children","ATLANTIC","33","15","21","Veanna Knoeller:: 609 348 - 4070"
"Covenant House","Covenant House-Rights of Passage -Atlantic","SMF=Single Males and Females 18 years and older","ATLANTIC","20","14","6","Lisa ferguson:: 609 348 - 1421"
"Covenant House","Covenant House NWK Rights of Passage - Essex","SMF=Single Males and Females 18 years and older","ESSEX","14","11","3","Dave Hall:: 973 482 - 9045"
"Covenant House","Covenant House Nancy's Place - Essex","SMF=Single Males and Females 18 years and older","ESSEX","8","7","1","Meghan Leigh:: 973 744 - 8175"
"Covenant House","Covenant House NWK Crisis Center-Essex","SMF=Single Males and Females 18 years and older","ESSEX","40","37","3","Dave Hall:: 973 621 - 8705"
"Covenant House","Covenant House-Almost Home SC-Essex","SMF=Single Males and Females 18 years and older","ESSEX","10","10","0","973 286 - 3419"
"CSP","CSP Middlesex County","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","5","5","0","John Kulesza:: 732 460 - 1280"
"CSP","CSP Cape May Program","SMF+HC=Single Male and Female and Households with Children","CAPE MAY","1","0","1","John Kulesza:: 609 383 - 1190"
"CSP","CSP Monmouth Long Term Support","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","14","5","9","John Kulesza:: 732 460 - 1280"
"CSP","CSP Monmouth Shelter Plus","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","16","13","3","John Kulesza:: 732 460 - 1280"
"CSP","CSP Mercer County",,"MERCER","10","8","2","John Kulesza:: 732 460 - 1280"
"CSP","CSP Ocean County",,"OCEAN","6","6","0","John Kulesza:: 732 460 - 1280"
"CSP","CSP Ocean County Shelter Plus","SMF+HC=Single Male and Female and Households with Children","OCEAN","2","2","0","John Kulesza:: 732 460 - 1280"
"CSP","CSP Passaic County",,"PASSAIC","83","101","-18","John Kulesza:: 973 340 - 2346"
"CSP","CSP Cumberland Shelter Plus",,"CUMBERLAND","5","4","1",
"CSP","CSP Atlantic Shelter Plus","SMF+HC=Single Male and Female and Households with Children","ATLANTIC","2","3","-1","John Kulesza:: 609 383 - 1190"
"CSP","CSP Essex County","SMF=Single Males and Females 18 years and older","ESSEX","3","8","-5","John Kulesza:: 973 340 - 2346"
"CSP","CSP Gloucester County",,"GLOUCESTER","3","3","0","John Kulesza:: 609 383 - 1190"
"CSP","CSP Monmouth County",,"MONMOUTH","93","85","8","John Kulesza:: 732 460 - 1285"
"CSP","CSP Salem County",,"SALEM","61","64","-3","John Kulesza:: 856 935 - 5323"
"CSP","CSP Atlantic County",,"ATLANTIC","80","72","8","John Kulesza:: 609 383 - 1190"
"CSP","CSP Cumberland County",,"CUMBERLAND","4","4","0","John Kulesza:: 856 935 - 5323"
"Dooley House Inc","Dooley Hogan House Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","10","8","1","Kelly Jenkin:: 856 541 - 1154 x114"
"Dooley House Inc","Dooley House Supportive Housing Camden","SMF+HC=Single Male and Female and Households with Children","CAMDEN","16","15","1","Lettie Perez:: 856 541 - 1154"
"Drenk Behavioral Health Center","DBHC - HUD Rental Subsidy 1 - Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","18","18","0","Dawn Reinhardt:: 609 261 - 7672"
"Drenk Behavioral Health Center","DBHC - HUD Rental Subsidy 4-Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","6","7","0","Dawn Reinhardt:: 609 261 - 7672"
"Drenk Behavioral Health Center","DBHC - Rental Subsidy 5-Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","4","2","0","Dawn Reinhardt:: 609 261 - 7672"
"Drenk Behavioral Health Center","Drenk DMHS Rental Subsidy","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","13","13","0","Dawn Reinhardt:: 609 261 - 7672"
"Drenk Behavioral Health Center","DBHC - HUD - Rental Subsidy 3-Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","2","2","0","609 261 - 7672"
"Drenk Behavioral Health Center","DBHC - HUD Rental Subsidy 2-Burlington","SMF+HC=Single Male and Female and Households with Children","BURLINGTON","9","9","0","Dawn Reinhardt:: 609 261 - 7672"
"Easter Seals","Easter Seals Bloomfield Essex","SMF=Single Males and Females 18 years and older","ESSEX","8","6","2","Melecia Ezeogu:: 973 857 - 3500"
"Easter Seals","Easter Seals Belleville/Maplewood Essex","SMF=Single Males and Females 18 years and older","ESSEX","9","9","0","Melecia Ezeogu:: 973 857 - 3500"
"Easter Seals","ESNJ Raintree Monmouth BHS","SMF=Single Males and Females 18 years and older","MONMOUTH","12","11","1","Jamie Barry:: 732 918 - 1188"
"Easter Seals","ESNJ Tinton Woods Monmouth","SM=Single Males 18 years and older","MONMOUTH","12","11","1","Josephine Piccolo:: 732 918 - 1188"
"Easter Seals","ESNJ- Fort Monmouth Homeless Shelter- Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","31","25","6","Stephanie Farris:: 732 542 - 9125"
"Easter Seal Society of NJ","ES Oxford House PH Warren","SMF=Single Males and Females 18 years and older","WARREN","10","10","0","Jill Gamble:: 908 689 - 6600"
"East Orange Hospital","EOGH-HOPE Gardens-Essex","SMF=Single Males and Females 18 years and older","ESSEX","24","22","2","Susan Goodwin:: 973 395 - 4164"
"East Orange Hospital","EOGH-Next Step Program-Essex","SMF=Single Males and Females 18 years and older","ESSEX","12","9","3","973 395 - 4161"
"East Orange Hospital","EOGH-My Own Place S Plus C-Essex","SMF=Single Males and Females 18 years and older","ESSEX","30","25","2","973 395 - 4161"
"Edison Housing Authority","EHA - Shelter Plus Care 3 - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","10","8","2","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA - Shelter Plus Care 6 - Middlesex","SMF+HC=Single Male and Female and Households with Children","MIDDLESEX","6","0","3","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA - Shelter Plus Care 1 - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","10","10","0","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA - Shelter Plus Care 2 - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","10","10","1","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA - Shelter Plus Care 5 - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","2","0","2","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA -Shelter Plus Care 4 Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","2","0","2","Madeline Cook:: 908 561 - 2525"
"Edison Housing Authority","EHA - Shelter Plus Care - Middlesex","SMF=Single Males and Females 18 years and older","MIDDLESEX","6","0","6","908 561 - 2525"
"Elizabeth Coalition to House the Homeless","ECHH - Operation Warm Heart - Union","SMF=Single Males and Females 18 years and older","UNION","14","0","15","908 355 - 2060"
"Elizabeth Coalition to House the Homeless","ECHH-Joanie's House-Union","HC=Households with Children","UNION","3","3","0","Maryanne Tracey"
"Elizabeth Coalition to House the Homeless","ECHH Hospitality House Union","SMF+HC=Single Male and Female and Households with Children","UNION","4","4","0","Maryanne Tracey:: 908 355 - 2060"
"EMET","EMET - Transitional Housing - Hudson","SMF=Single Males and Females 18 years and older","HUDSON","117","45","72","Nidia Davila-Colon:: 201 434 - 0927"
"Eric Johnson House","EJH - Transitional Housing - Morris","SMF=Single Males and Females 18 years and older","MORRIS","10","10","0","Robert Meredith:: 973 326 - 9635"
"Eric Johnson House","EJH - Shelter Plus Care - Morris","SMF=Single Males and Females 18 years and older","MORRIS","6","5","1","Robert Meredith:: 973 326 - 9636"
"Eva's Village","Evas Mens Permanent Housing-Passaic","SM=Single Males 18 years and older","PASSAIC","7","6","1","Mark Layer:: 973 742 - 2262"
"Eva's Village","Eva's Village-Prince Street Apartments-Passaic","SMF+HC=Single Male and Female and Households with Children","PASSAIC","26","26","0","Barbara Niziol:: 973 279 - 0102"
"Eva's Village","Eva's Family Shelter Passaic","HC=Households with Children","PASSAIC","19","18","1","Bonnie Willis:: 973 742 - 2302"
"Eva's Village","Eva's Family Transitional","HC=Households with Children","PASSAIC","6","6","0","Bonnie Willis:: 973 523 - 6220"
"Eva's Village","Eva's Womens Overnight Shelter Passaic","SF=Single Females 18 years and older","PASSAIC","36","23","13","Joyce Pinkney:: 973 279 - 1005"
"Eva's Village","Eva's Men's Overnight Shelter Passaic","SM=Single Males 18 years and older","PASSAIC","40","32","8","973 247 - 0143"
"Extended Hand Ministries","TEHM-Emergency Shelter- Burlington","SMF=Single Males and Females 18 years and older","BURLINGTON","14","0","14","Cynthia Davis:: 609 914 - 4270"
"Fairmont Health Services","FHS Emergency Shelter Essex","SMF=Single Males and Females 18 years and older","ESSEX","45","18","39","Jonathan Maness:: 973 821 - 5300"
"Families in Transition","Families in Transition-Mercer","SMF+HC=Single Male and Female and Households with Children","MERCER","2","2","0","Bruce Wadzeck:: 609 588 - 5968"
"Family Promise of Monmouth County","Family Promise Shelter -Monmouth","HC=Households with Children","MONMOUTH","14","7","0","Tracy Boyer:: 732 495 - 1050"
"Family Promise of Morris County","Family Promise ES - Morris","SF+HC=Single Females and Households with Children","MORRIS","14","6","0","Allison Wise:: 973 998 - 0920"
"Family Promise of Salem County","FPSC-Family Promise of Salem County-Salem","HC=Households with Children","SALEM","14","6","8","Christine Hoehn:: 856 678 - 3772"
"Family Promise of Warren County","FPWC-WCIHN Shelter-Warren","SF+HC=Single Females and Households with Children","WARREN","14","3","11","Bob Frankenfield:: 908 453 - 2194"
"Family Promise of Warren County","FPWC-Shelter Plus Care-Warren","HC=Households with Children","WARREN","5","0","5","Bob Frankenfield:: 908 453 - 2194"
"FISH Hospitality","FISH Hospitality Program Union","SMF+HC=Single Male and Female and Households with Children","UNION","6","7","1","732 968 - 5957"
"FISH Hospitality","FISH Hospitality Program Middlesex","SF+HC=Single Females and Households with Children","MIDDLESEX","8","3","9","Susan Baybutt:: 732 968 - 5957"
"Freedom House","Grantham House - Hunterdon","SM=Single Males 18 years and older","HUNTERDON","10","9","1","908 553 - 7604 3"
"Gospel Services Benevolent Society","GSBS - Emergency Shelter - Essex","SMF=Single Males and Females 18 years and older","ESSEX","73","25","45","Laila Lowery:: 973 375 - 8900"
"Greater Trenton CMHC","GTBHC 2009/4 PSH","SMF=Single Males and Females 18 years and older","MERCER","4","3","1","609 396 - 6788"
"Greater Trenton CMHC","GTBHC/2008-11 SB PSH","SMF=Single Males and Females 18 years and older","MERCER","15","12","1","609 583 - 1901"
"Greater Trenton CMHC","GTBHC/2008-3 SB PSH","SMF=Single Males and Females 18 years and older","MERCER","4","4","0","609 583 - 1901"
"Greater Trenton CMHC","GTBHC Housing First - Mercer","SMF+HC=Single Male and Female and Households with Children","MERCER","23","23","0","609 583 - 1901"
"Greater Trenton CMHC","GTBHC/PSH 04","SMF=Single Males and Females 18 years and older","MERCER","5","4","1","Vivienne Stewart:: 609 583 - 1901"
"Greater Trenton CMHC","GTBHC PSH 05","SMF=Single Males and Females 18 years and older","MERCER","6","6","0","609 583 - 1901"
"Greater Trenton CMHC","GTBHC/PSH 06","SMF=Single Males and Females 18 years and older","MERCER","19","17","3","609 583 - 1901"
"Greater Trenton CMHC","GTBHC PSH 07","SMF=Single Males and Females 18 years and older","MERCER","21","18","0","Vivienne Stewart:: 609 583 - 1901"
"Greater Trenton CMHC","GTBHC/ 2004 PB PSH- Mercer","SMF=Single Males and Females 18 years and older","MERCER","18","14","0","Vivienne Stewart:: 609 583 - 1901"
"Greater Trenton CMHC","GTBHC 2009/7 PSH","SMF=Single Males and Females 18 years and older","MERCER","7","7","0","609 396 - 6788"
"HABcore","HABcore-Laurel Apartments - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","2","0","2","Steve Heisman:: 732 774 - 9601"
"HABcore","HABcore -Coffey Residence Respite - Monmouth","SMF=Single Males and Females 18 years and older","MONMOUTH","1","1","0","Steve Heisman:: 732 224 - 8200"
"HABcore","HABcore - Coffey Residence - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","20","19","1","Darlene Bibbens:: 732 224 - 8200"
"HABcore","HABcore - AP99 - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","6","6","0","Steve Heisman:: 732 544 - 1975"
"HABcore","HABcore - AP02 - Monmouth","SMF+HC=Single Male and Female and Households with Children","MONMOUTH","16","15","0","Steve Heisman:: 732 544 - 1975"
